FECHA,DIA,HORA,BARRIO,MES,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,Móvil Agresor,MOVIL_VICTIMA,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,PROFESION,ESCOLARIDAD,Genero,DESCRIPCION_CONDUCTA
2012-04-18,Miércoles,23:30:00,CHICO NORTE I E-2,abr.,URBANA,PARQUES,NO REPORTADO,CONDUCTOR TAXI,CONDUCTOR TAXI,27.0,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-04-22,Domingo,07:00:00,GALERIAS E-13,abr.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,18.0,NO REPORTA,COLOMBIA,COMERCIANTE,-,NO REPORTADO,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-04-22,Domingo,07:00:00,GALERIAS E-13,abr.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,18.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,-,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-04-28,Sábado,00:10:00,MURILLO TORO E-18,abr.,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,CONDUCTOR VEHICULO,18.0,-,COLOMBIA,EMPLEADO PARTICULAR,-,-,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-04-29,Domingo,09:30:00,LA CATEDRAL E-17,abr.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,26.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,DERECHO,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-05-11,Viernes,18:30:00,GALERIAS E-13,may.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,A PIE,24.0,SOLTERO,NORUEGA,ESTUDIANTE,-,SUPERIOR,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-06-06,Miércoles,13:00:00,SANTA CATALINA E-8,jun.,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,26.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-06-14,Jueves,21:50:00,LA PORCIUNCULA E-2,jun.,URBANA,INTERIOR VEHICULO SERVICIO PUBLICO,ARMA BLANCA / CORTOPUNZANTE,-,CONDUCTOR TAXI,18.0,-,-,COMERCIANTE,-,-,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-06-17,Domingo,20:30:00,LA GAITANA E-11,jun.,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,13.0,SOLTERO,COLOMBIA,NO REPORTA,-,-,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-06-21,Jueves,18:30:00,VEINTE DE JULIO E-4,jun.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR VEHICULO,A PIE,18.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-06-22,Viernes,19:00:00,CIUDAD KENNEDY OCC E-8,jun.,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,32.0,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-08-08,Miércoles,09:15:00,LAGO GAITAN E-2,ago.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,30.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,ADMINISTRACION  DE EMPRESAS,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-08-10,Viernes,18:00:00,SALAZAR GOMEZ E-16,ago.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,35.0,CASADO,COLOMBIA,EMPLEADO PARTICULAR,ADMINISTRACION  DE EMPRESAS,SUPERIOR,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-08-16,Jueves,20:15:00,EL RETIRO I E-2,ago.,URBANA,CENTRO COMERCIAL,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,30.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,ADMINISTRACION  DE EMPRESAS,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-08-17,Viernes,03:00:00,EL RETIRO I E-2,ago.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,20.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PUBLICIDAD,SUPERIOR,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-08-21,Martes,16:00:00,CIUDAD KENNEDY CENTRO CIVICO D.L.F. E-8,ago.,URBANA,VIAS PUBLICAS,NO REPORTADO,CONDUCTOR VEHICULO,A PIE,17.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,-,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-08-28,Martes,18:50:00,SANTA MARIA DEL LAGO E-10,ago.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,37.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,ADMINISTRACION  DE EMPRESAS,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-09-07,Viernes,23:55:00,CHICO NORTE I E-2,sep.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,CONDUCTOR TAXI,18.0,UNION LIBRE,COLOMBIA,CANDIDATOS,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
